a,b,c,objID,objType,objYear,wapName,wakName,wacName,pmnID,pmnObjName,area,pmnRemarks,kec
70465,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2011\pmn_pulauBokori.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Sulawesi utara,,,,,,,pulauBokori
70563,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2012\pmn_wawoniiBarat.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Sulawesi utara,,,,,,,wawoniiBarat
70570,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2012\pmn_wawoniiTengah.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",-,-,,Sulawesi utara,,,,,,,wawoniiTengah
70577,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2012\pmn_wawoniiTenggara.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",,,,Sulawesi utara,,,,,,,wawoniiTenggara
70584,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2012\pmn_wawoniiTimur.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",,,,Sulawesi utara,,,,,,,wawoniiTimur
70591,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2012\pmn_wawoniiTimurLaut.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",,,,Sulawesi utara,,,,,,,wawoniiTimurLaut
70598,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2012\pmn_wawoniiUtara.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",,,,Sulawesi utara,,,,,,,wawoniiUtara
70689,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2013\pmn_laeya.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",,,,Sulawesi utara,,,,,,,laeya
70696,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2013\pmn_lantariJaya.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",,,,Sulawesi utara,,,,,,,lantariJaya
70703,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2013\pmn_moramoUtara.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",,,,Sulawesi utara,,,,,,,moramoUtara
70710,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2013\pmn_rarowatuUtara.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",,,,Sulawesi utara,,,,,,,rarowatuUtara
70717,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2013\pmn_rumbia.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",,,,Sulawesi utara,,,,,,,rumbia
70724,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2013\pmn_rumbiaTengah.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",,,,Sulawesi utara,,,,,,,rumbiaTengah
70815,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2014\pmn_latambaga.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",,,,Sulawesi utara,,,,,,,latambaga
70822,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2014\pmn_mataoleo.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",,,,Sulawesi utara,,,,,,,mataoleo
70829,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2014\pmn_poleangSelatan.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",,,,Sulawesi utara,,,,,,,poleangSelatan
70836,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2014\pmn_poleangTenggara.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",,,,Sulawesi utara,,,,,,,poleangTenggara
70843,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2014\pmn_poleangTimur.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",,,,Sulawesi utara,,,,,,,poleangTimur
70850,F:\WP3WT\@ Integrasi Data\2015\INTEGRASI SULTRA 2015\2014\pmn_samaturu.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",,,,Sulawesi utara,,,,,,,samaturu
373041,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2016\16. Jawa Timur 2016\Kecamatan Ambunten\shp\PMN_Ambunten.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",,,,Jawa Timur,,,,,,,Ambunten
373258,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2016\16. Jawa Timur 2016\Kecamatan Dasuk\shp\PMN_Dasuk.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",,,,Jawa Timur,,,,,,,Dasuk
373510,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2016\16. Jawa Timur 2016\Saronggi\SHP\pmn_saronggi.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",,,,Jawa Timur,,,,,,,saronggi
377118,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2016\28. Sulawesi Tenggara 2016\PETA-2016\1. Kecamatan Pomalaa Kab. Kolaka\Data\pmn_pomalaa.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",,,,Sulawesi Tenggara,,,,,,,pomalaa
377460,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2016\28. Sulawesi Tenggara 2016\PETA-2016\3. Kecamatan Baula Kab. Kolaka\Data\pmn_baula.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'Area', 'pmnRemark']",,,,Sulawesi Tenggara,,,,,,,baula
73709,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Daerah 2017\1. Aceh\KECAMATAN TRUMON\pmn_trumon.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'pmnID', 'pmnObjName', 'area', 'ptnRemarks']",,,,Aceh,,,,,,,trumon
