a,b,c,objID,objType,objYear,wapName,wakName,wadName,pmnID,pmnObjName,area,pmnRemarks,Pulau
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
,,,,,,,,Kecamatan ,,,,,
