url,prov,Kec,Nama File,Nama Feature
F:\WP3WT\@ Integrasi Data\2014\Jateng\2011\Brebes\Kecamatan Brebes\ptn_brebes.shp,Jawa Tengah,Brebes,ptn_brebes.shp,ptn_brebes
F:\WP3WT\@ Integrasi Data\2014\Jateng\2011\Brebes\Kecamatan Bulakamba\ptn_bulakamba.shp,Jawa Tengah,Bulakamba,ptn_bulakamba.shp,ptn_bulakamba
F:\WP3WT\@ Integrasi Data\2014\Jateng\2011\Brebes\Kecamatan Losari\ptn_losari.shp,Jawa Tengah,Losari,ptn_losari.shp,ptn_losari
F:\WP3WT\@ Integrasi Data\2014\Jateng\2011\Brebes\Kecamatan Tanjung\ptn_tanjung.shp,Jawa Tengah,Tanjung,ptn_tanjung.shp,ptn_tanjung
F:\WP3WT\@ Integrasi Data\2014\Jateng\2011\Brebes\Kecamatan Wanasari\ptn_wanasari.shp,Jawa Tengah,Wanasari,ptn_wanasari.shp,ptn_wanasari
F:\WP3WT\@ Integrasi Data\2014\Jateng\2011\Cilacap\Kecamatan Kampung Laut\ptn_kampunglaut.shp,Jawa Tengah,Kampung_Laut,ptn_kampunglaut.shp,ptn_kampunglaut
F:\WP3WT\@ Integrasi Data\2014\Jateng\2011\Kota Tegal\Kecamatan Tegal Barat\ptn_tegalbarat.shp,Jawa Tengah,Tegal_Barat,ptn_tegalbarat.shp,ptn_tegalbarat
F:\WP3WT\@ Integrasi Data\2014\Jateng\2011\Kota Tegal\Kecamatan Tegal Timur\ptn_tegaltimur.shp,Jawa Tengah,Tegal_Timur,ptn_tegaltimur.shp,ptn_tegaltimur
F:\WP3WT\@ Integrasi Data\2014\Jateng\2011\Wonogiri\Kecamatan Paranggupito\ptn_paranggupito.shp,Jawa Tengah,Paranggupito,ptn_paranggupito.shp,ptn_paranggupito
F:\WP3WT\@ Integrasi Data\2014\Jateng\2012\Kabupaten Purworejo\Kecamatan Grabak\ptn_grabak.shp,Jawa Tengah,Grabak,ptn_grabak.shp,ptn_grabak
