a,b,c,objID,objType,objYear,wapName,wakName,wadName,pmnID,pmnObjName,area,pmnRemarks,Pulau,,,,
,C:\WP3WT\PPKT\SHP\PULAU SINYAUNYAU\Shp\Shp_pemilikan\projectsinyaunyaupemilikan.shp,"['Id', 'pemilikan', 'kode']",2,Pulau,2017,Sumatera Barat,,Pulau Sinyaunyau,,,,Sinyaunyau,Sinyaunyau,,,,
,C:\WP3WT\PPKT\SHP\panehan\pemilikan.shp,"['ID', 'PEMILIKAN']",2,Pulau,2017,Jawa Timur,,Pulau Panehan,,,,Panehan,Panehan,,,,
,C:\WP3WT\PPKT\SHP\Rusa\Pemilikan.shp,"['Id', 'Pemilikan']",2,Pulau,2017,Aceh,,Pulau Rusa,,,,Rusa,Rusa,,,,
,C:\WP3WT\PPKT\SHP\Sebatik\pemilikan_Project.shp,"['Id', 'pemilikan']",2,Pulau,2017,Kalimantan Timur,,Pulau Sebatik,,,,Sebatik,Sebatik,,,,
,C:\WP3WT\PPKT\SHP\Laag\Pulau_gugusan_pemilikan.shp,"['Id', 'Pemilikan']",2,Pulau,2017,Papua,,Pulau Laag,,,,Laag,Laag,,,,
,C:\WP3WT\PPKT\SHP\Miossu\Pemilikan.shp,"['Id', 'Penggunaan', 'Luas', 'Penguasaan', 'pemilikan']",2,Pulau,2017,Papua Barat,,Pulau Miossu,,,,Miossu,Miossu,,,,
,C:\WP3WT\PPKT\SHP\SHP SIMEULUE CUT\PEMILIKAN.shp,"['Id', 'PULAU', 'LUAS', 'Pemilik', 'Tipe', 'Status']",2,Pulau,2017,Aceh,,Pulau SimeulueCut,,,,SimeulueCut,SimeulueCut,,,,
,C:\WP3WT\PPKT\SHP\P. Dolangan\SHP\Pemilikan_region.shp,"['IDENTIFIER', 'NO_ID', 'NO_SU', 'BIDANG', 'PEMILIK', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMESILI', 'TANAH', 'TANAH0', 'TANAH1', 'TAHUN', 'TANAH2', 'KETERANGAN']",2,Pulau,2017,Sulawesi Tengah,,Pulau Dolangan,,,,Dolangan,Dolangan,,,,
,C:\WP3WT\PPKT\SHP\P. Lingian\SHP\Pemilikan_region.shp,"['IDENTIFIER', 'NO_ID', 'NO_SU', 'BIDANG', 'PEMILIK', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMESILI', 'TANAH', 'TANAH0', 'TANAH1', 'TAHUN', 'TANAH2', 'KETERANGAN']",2,Pulau,2017,Sulawesi Tengah,,Pulau Lingian,,,,Lingian,Lingian,,,,
,C:\WP3WT\PPKT\SHP\Enggano\GEO\Enggano_Pemilikan1.shp,"['IDENTIFIER', 'NO_SU', 'LUAS', 'ALAMAT', 'T_PMLK', 'NAMA_1', 'WN', 'PRF', 'DOM', 'STA_TNH', 'T_STA_TNH', 'NO_STA_TNH', 'THN_1', 'THN_PGS', 'KET']",2,Pulau,2017,Bengkulu,,Pulau Enggano,,,,Enggano,Enggano,,,,
