a,b,c,objID,objType,objYear,wapName,wakName,wacName,pmnID,pmnObjName,area,pmnRemarks,kec,,,,
273820,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Inventarisasi Daerah 2013-2014-2015-2016\2013\01. Aceh 2013\18 02 2014\Kecamatan Simpang Mamplam Project\SHP_MAMPLAM\dd\penggunaan3_utm.shp,"['FID_pengg', 'FID_ACEH_B', 'FID_', 'AREA', 'PERIMETER', 'QCODE100', 'QNAME100', 'Manfaat', 'Shape_Leng', 'Shape_Area', 'ORIG_FID', 'luas']",2,Pesisir,2013,Aceh,,Kecamatan SimpangMamplam,,,,SimpangMamplam,SimpangMamplam,,,,
73291,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Daerah 2017\1. Aceh\KECAMATAN SINGKIL\SINGKIL\SHP\SHP HASIL\Penggunaan.shp,"['DESA', 'luas_ha', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'ptnID', 'ptnObjName', 'manfaat']",2,Pesisir,2017,Aceh,,Kecamatan Singkil,,,,Singkil,Singkil,,,,
73532,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Daerah 2017\1. Aceh\KECAMATAN SINGKIL UTARA\Peta\penggunaan_singkilutara.shp,"['Kode', 'objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'ptnID', 'ptnObjName', 'Area', 'ptnRemark']",2,Pesisir,2017,Aceh,,Kecamatan SingkilUtara,,,,SingkilUtara,SingkilUtara,,,,
49039,F:\WP3WT\@ Integrasi Data\2013\1 Aceh 2013\2012\Kecamatan Tadu Raya\PGT_TaduRaya.shp,"['Qname100', 'Shape_Leng', 'Shape_Area']",2,Pesisir,2013,Aceh,,Kecamatan TaduRaya,,,,TaduRaya,TaduRaya,,,,
73734,F:\WP3WT\Hasil Inventarisasi Daerah\@ Data Daerah 2017\1. Aceh\KECAMATAN TRUMON\ptn_trumon.shp,"['FID_ptn_Ol', 'FID_ptn_', 'objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'wadName', 'ptnID', 'ptnObjName', 'area', 'ptnRemarks']",2,Pesisir,2017,Aceh,,Kecamatan Trumon,,,,Trumon,Trumon,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
