a,b,c,objID,objType,objYear,wapName,wakName,wadName,pmnID,pmnObjName,area,pmnRemarks,Pulau,,,,
,C:\WP3WT\PPKT\SHP\Pulau Karang\3. Penggunaan\Pulau Karang\Pulau Karang.shp,"['Nomor_Id', 'Kecamatan', 'Kode', 'Luas_m2', 'Keterangan']",2,Pulau,2017,Maluku,,Pulau Karang,,,,Karang,Karang,,,,
,C:\WP3WT\PPKT\SHP\Pulau Kisar\SHP\Penggunaan.shp,"['ID', 'PENGGUNAAN', 'KETERANGAN', 'KETERANG_1']",2,Pulau,2017,Maluku,,Pulau Kisar,,,,Kisar,Kisar,,,,
,C:\WP3WT\PPKT\SHP\Pulau Kultubai Selatan\3. Penggunaan\Pulau Kultubai Selatan\Pulau Kultubai Selatan.shp,"['Nomor_Id', 'Kecamatan', 'Kode', 'Luas_m2', 'Keterangan']",2,Pulau,2017,Maluku,,Pulau KultubaiSelatan,,,,KultubaiSelatan,KultubaiSelatan,,,,
,C:\WP3WT\PPKT\SHP\Pulau Kultubai Utara\1. Penggunaan\Pulau Kultubai Utara\Pulau Kultubai Utara.shp,"['Nomor_Id', 'Kecamatan', 'Kode', 'Luas_m2', 'Keterangan']",2,Pulau,2017,Maluku,,Pulau KultubaiUtara,,,,KultubaiUtara,KultubaiUtara,,,,
,C:\WP3WT\PPKT\SHP\Pulau Leti\Penggunaan_region.shp,"['ID', 'PENGGUNAAN', 'KETERANGAN', 'DESA', 'KETERANG_1']",2,Pulau,2017,Maluku,,Pulau Leti,,,,Leti,Leti,,,,
,C:\WP3WT\PPKT\SHP\Pulau Lirang\Penggunaan_region.shp,"['ID', 'PENGUASAAN', 'KETERANGAN', 'DESA']",2,Pulau,2017,Maluku,,Pulau Lirang,,,,Lirang,Lirang,,,,
,C:\WP3WT\PPKT\SHP\Pulau Penambulai\3. Penggunaan\Pulau Penambulai\Pulau Penambulai.shp,"['Nomor_Id', 'Kecamatan', 'Kode', 'Luas_m2', 'Keterangan', 'Ket']",2,Pulau,2017,Maluku,,Pulau Penambulai,,,,Penambulai,Penambulai,,,,
,C:\WP3WT\PPKT\SHP\Pulau Wetar\Penggunaan_region.shp,"['ID', 'PENGGUNAAN', 'KETERANGAN', 'DESA']",2,Pulau,2017,Maluku,,Pulau Wetar,,,,Wetar,Wetar,,,,
,C:\WP3WT\PPKT\SHP\JIEW\gugusan_penggunaan.shp,"['Id', 'Penggunaan', 'Area', 'Pemanfaata']",2,Pulau,2017,Maluku Utara,,Pulau Jiew,,,,Jiew,Jiew,,,,
,C:\WP3WT\PPKT\SHP\PULAU_SOPHIALOUISA\Penggunaan.shp,"['Id', 'NO_IDENTIF', 'KODE_JENIS', 'KETERANGAN', 'Text', 'LUAS', 'Area']",2,Pulau,2017,NTB,,Pulau Sophialouisa,,,,Sophialouisa,Sophialouisa,,,,
