a,b,c,objID,objType,objYear,wapName,wakName,wadName,pmnID,pmnObjName,area,pmnRemarks,Pulau,,,,
,C:\WP3WT\PPKT\SHP\Pulau Batu Goyang\1. Penguasaan\Pulau BatuGoyang\Pulau Batugoyang.shp,"['Id', 'No_Id', 'Kecamatan', 'Kode', 'Jenis', 'Luas_m2', 'Keterangan']",2,Pulau,2017,Maluku,,Pulau BatuGoyang,,,,BatuGoyang,BatuGoyang,,,,
,C:\WP3WT\PPKT\SHP\Pulau Enu\1. Penguasaan\Pulau Enu\Pulau Enu.shp,"['Nomor_Id', 'Kecamatan', 'Kode', 'Luas_m2', 'Keterangan', 'kode_1']",2,Pulau,2017,Maluku,,Pulau Enu,,,,Enu,Enu,,,,
,C:\WP3WT\PPKT\SHP\Pulau Karang\1. Penguasaan\Pulau Karang\Pulau Karang.shp,"['Nomor_Id', 'Kecamatan', 'Kode', 'Luas', 'Keterangan']",2,Pulau,2017,Maluku,,Pulau Karang,,,,Karang,Karang,,,,
,C:\WP3WT\PPKT\SHP\Pulau Kisar\SHP\Penguasaan_region.shp,"['ID', 'NAMA', 'NEGARA', 'PROPESI', 'DOMISILI', 'TANAH', 'TANAH0', 'KETERANGAN']",2,Pulau,2017,Maluku,,Pulau Kisar,,,,Kisar,Kisar,,,,
,C:\WP3WT\PPKT\SHP\Pulau Kultubai Selatan\1. Penguasaan\Pulau Kultubai Selatan\Pulau Kultubai Selatan.shp,"['Nomor_Id', 'Kecamatan', 'Kode', 'Luas_m2', 'Keterangan']",2,Pulau,2017,Maluku,,Pulau KultubaiSelatan,,,,KultubaiSelatan,KultubaiSelatan,,,,
,C:\WP3WT\PPKT\SHP\Pulau Kultubai Utara\3. Penguasaan\Pulau Kultubai Utara\Pulau Kultubai Utara.shp,"['Nomor_Id', 'Kecamatan', 'Kode', 'Jenis', 'Luas_m2', 'Keterangan', 'Ket']",2,Pulau,2017,Maluku,,Pulau KultubaiUtara,,,,KultubaiUtara,KultubaiUtara,,,,
,C:\WP3WT\PPKT\SHP\Pulau Leti\Penguasaan_region.shp,"['ID', 'NAMA', 'KEWARGANEG', 'PROFESI', 'DOMISILI', 'PENGUASAAN', 'PENGUASA0', 'PENGUASA1', 'KETERANGAN', 'DESA']",2,Pulau,2017,Maluku,,Pulau Leti,,,,Leti,Leti,,,,
,C:\WP3WT\PPKT\SHP\Pulau Lirang\Penguasaan_region.shp,"['ID', 'NAMA', 'KEWARGANEG', 'PROFESI', 'DOMISILI', 'PENGUASAAN', 'PENGUASA0', 'PENGUASA1', 'KETERANGAN', 'DESA']",2,Pulau,2017,Maluku,,Pulau Lirang,,,,Lirang,Lirang,,,,
,C:\WP3WT\PPKT\SHP\Pulau Penambulai\1. Penguasaan\Pulau Penambulai\Pulau Penambulai.shp,"['Nomor_Id', 'Kecamatan', 'Kode', 'Jenis', 'Luas_m2', 'Keterangan', 'Kode_1']",2,Pulau,2017,Maluku,,Pulau Penambulai,,,,Penambulai,Penambulai,,,,
,C:\WP3WT\PPKT\SHP\Pulau Wetar\Penguasaan_region.shp,"['ID', 'NAMA', 'KEWARGANEG', 'PROFESI', 'DOMISILI', 'PENGUASAAN', 'PENGUASA0', 'PENGUASA1', 'KETERANGAN', 'DESA']",2,Pulau,2017,Maluku,,Pulau Wetar,,,,Wetar,Wetar,,,,
